ts_code,n_income
601398,192896062500.0
601939,171081625000.0
601988,134772055555.55556
601288,133218944444.44444
601318,84486263157.89473
600036,55076350000.0
601328,46790888888.888885
601166,42284050000.0
601658,38432105263.1579
600000,37393210526.31579
600016,35306210526.31579
600028,33290578947.36842
601668,32419803368.42105
601998,31364894736.842106
601088,30395952194.65
601628,29783473684.210526
601857,29749111111.11111
600104,25503189234.91476
601818,23020411764.705883
600519,22434636776.30762
000002,19807451079.705498
601319,18278250000.0
000001,16735952380.952381
600585,15200410442.210526
000333,14892783312.5
601169,14291900000.0
000651,13631482143.269999
600048,13372943387.050003
601601,13211411764.705883
600900,12917407352.927143
600015,12259450000.0
601229,11446236625.0
601186,11276345904.761906
601800,11207126096.0
601390,10979903781.15
600606,10973718024.25
601225,9842626666.485
000858,9765918024.010952
601006,9384731707.380953
600019,9229657138.579088
003816,8919926208.94714
601138,8565516190.476191
600919,8559487578.947369
601916,8153958450.0
600030,8020731055.213043
600340,7603077407.704545
601766,7473507526.315789
002142,7350386736.842105
601336,7309611111.111111
601009,7239523882.3529415
001979,7145613372.908094
600837,6434632481.826841
600690,6431653482.474501
601077,6413034523.809524
600309,6366530640.638572
601211,6355612027.157895
600383,6213793192.799999
002415,6056552177.6247635
000338,5958016563.3295
601669,5928702375.029048
600050,5791587657.4
601238,5692494216.523809
002304,5673257018.436956
601985,5622019162.299474
600018,5534332694.045238
000776,5520109988.455001
600031,5487746099.181818
601688,5214012804.021111
600886,5183994056.661
600741,4894431712.103499
600011,4686252915.318182
000069,4593486549.662632
601618,4498742842.105263
601816,4426276485.506666
300498,4333682962.808333
600887,4195645029.6784997
600926,3772125947.368421
601155,3767546701.6190476
600999,3699732872.620555
000166,3629527398.3458824
601066,3621228623.7217393
600346,3528274889.8631577
600795,3426300923.7536836
002146,3380315594.5442863
000895,3302805997.368182
002714,3290676523.587392
600068,3260680106.7710524
002352,3060846338.1605554
601607,3055020271.312941
601633,3046692172.21421
601881,3038460146.750526
601899,3030272947.7222223
601111,3016032812.5
002024,2971149411.7647057
601577,2948232619.047619
603288,2908770525.1995
002736,2864041006.713333
600276,2861414189.7380004
601888,2841464529.0286956
601838,2778877454.5454545
000568,2760899510.2292004
600705,2655232910.816316
601727,2647291034.5238094
601012,2640687982.3828573
600025,2618534398.9234614
000876,2595241239.1223807
600352,2576676963.519546
002493,2576090288.844762
600177,2505301958.254762
000656,2467127935.1666665
002027,2442514226.698571
000725,2404083535.4545455
600297,2368402897.122
000538,2357148679.2736845
688009,2299002780.772857
600332,2282270378.0489473
600027,2258869863.6363635
002594,2254850944.4444447
601919,2223287536.008421
600390,2177120015.6213636
000100,2172955052.0625
601877,2139503791.6655002
600196,2114848269.5442853
600009,2109801817.4600003
603993,2073734029.0917645
600989,2045440004.5736365
600660,2040141750.0952382
601360,2034298873.212941
600061,1984077930.4657893
000157,1973878994.6433334
600208,1953134353.4617646
002475,1948563762.1450005
000703,1776416341.159
601788,1770255049.7705884
600958,1769280511.6482356
600406,1703861978.515
002958,1692467468.846
000963,1676364844.3352377
002001,1675971907.78625
002202,1655706856.9405556
600600,1655239890.8421052
000938,1605613732.3116665
601117,1600580790.9790478
000671,1592171545.4709523
000425,1581853107.9116666
000627,1578468097.692
000961,1577645809.815
601377,1571232424.859091
601216,1550243282.598421
002236,1533161383.197619
603156,1501961073.7528
000625,1480050554.8905265
002601,1479370863.2526317
600438,1471156345.7621741
600918,1433137176.5028572
600115,1397722222.2222223
600362,1378344538.9473684
600809,1362319912.3766665
000708,1362056904.3133335
002555,1323519882.9695454
600703,1320918939.3995454
600637,1299749463.52
601933,1299268367.5290477
603259,1244130505.2531817
600176,1237253611.0413635
002120,1235626236.6975002
601872,1224042292.516667
600522,1219743352.4504547
601600,1192775000.0
600085,1162990175.2752173
600655,1160624709.6586363
002602,1157367158.117143
000596,1136684175.6647618
002624,1124422992.3624997
000661,1120581247.0945
600271,1110745994.104762
002938,1105897313.6461537
600487,1091906643.7417648
300433,1090912766.6025
600066,1064741513.3500001
603195,1054207475.745
600998,1050967198.3609523
002311,1043349061.0918183
000783,1039173955.8783334
600010,1027476132.1838095
300059,1026573014.6921052
300003,1022012668.5838888
600547,994843403.2931819
601108,993775823.3113636
600233,993530122.4485003
300122,982827553.6655003
002271,965192328.8981818
603369,960214712.9147619
002032,946788317.2578949
600299,943712490.45
601901,918831123.81
688036,899175752.44875
000786,896263957.0316666
002508,870510140.3045455
002241,851298849.3278948
601198,842990691.5655
002008,814470238.0109524
600109,793184590.7021053
600183,791151692.0509523
600436,784197609.172857
300015,779976169.8395237
002050,773944665.1431817
603833,746838553.4953845
000723,740651128.503684
601696,740579560.8313333
601021,728523539.6
603160,723559895.7105265
601555,715879584.0094999
002558,715162415.72
300144,711370947.6775
603799,691143997.9190001
601878,683153416.5395454
000063,682325600.0
002939,681660937.8194445
002422,672880039.2
300124,661886441.976111
002157,658183753.7336842
000728,657513819.5489473
601231,652977140.172857
600482,650235412.3199999
601100,639947261.0482608
002841,637614769.6954546
300408,628103585.2068421
002179,618823066.6180953
002007,616786340.1176192
603087,616139519.3360001
300413,614813338.4334999
600004,589012330.4130435
002600,583533954.5474999
600848,576419867.4638095
002129,574285794.3757894
600745,568171834.8078947
600161,566874097.5436364
300628,560921306.6584615
300014,559189960.1364999
603899,555836519.0654546
002673,542288257.8457894
300136,541903177.2731578
688008,516847380.35105264
600029,513421293.0
600845,509195919.8658333
600369,491125088.0935
601236,489284179.9276191
000860,488930634.5166667
600489,482909984.89454556
002384,464680928.175
601990,464555459.18826085
002460,459647421.38608706
600893,455209785.7008333
601698,451415674.02800006
600498,447567965.2304545
600760,447539633.5952632
002463,438034415.71428573
300033,433791521.3299999
002773,432903937.64761907
600570,431645862.1457143
601162,426550171.3633334
600872,426453323.78045464
002916,423871952.225
002456,420007657.4676191
300347,410883413.867
300676,380732048.8428001
601989,377324856.2438095
600111,376866597.73608696
002607,376763819.2157895
002945,336183747.9242857
603658,330437648.6347826
000977,325213182.09944445
002230,320564554.0871428
600588,315274665.6666667
002812,315069076.40199995
603501,311844624.74916667
002252,307364712.3621053
603986,294176545.13375
300529,284093816.5936364
000066,270161795.50217396
002821,259578595.617
002049,250590247.2005264
600118,245243363.70894733
002153,240101777.394
600763,229240060.7233333
000768,225061035.60789475
603019,222332594.9252174
300601,202594884.03230768
601808,200163960.0
002410,191100286.95863634
002414,175850847.6413043
603392,171101369.64444444
002371,166802969.22777775
002739,92384510.67809527
300142,75320782.053
688012,50742777.73470587
002044,7258364.174210523
600584,-8927530.693000007
600150,-235148386.84631577
