ts_code,total_cur_liab
000002,1134327927307.313
601668,1106221283733.3333
600606,727429890082.0627
601390,656579526384.6154
601186,640928789750.0
601857,617429312500.0
600028,595003357142.8572
600048,524770337705.3739
601800,505225720648.2143
600104,417938335240.7686
601669,352988537648.8185
601618,311023718666.6667
001979,291214864439.81134
601155,289867657202.82355
600340,260739207283.94232
601766,217238332583.33334
600050,214033339158.0
000961,193097905367.81732
600383,172629079106.09003
000671,170507250551.90613
600705,168475792005.3475
000069,167096884395.40927
000651,164954418781.01288
000656,163849055987.1467
002146,163502684072.06308
000333,142600032800.0
600019,141351756578.71564
600011,140287030112.35715
601727,132842057017.86667
601138,114081217800.0
600068,111322062751.145
002594,109858356333.33333
600061,108120593323.49063
601088,105035666666.66667
002024,100174565500.0
000338,98322441263.82533
600690,91061705217.07501
000063,89166418000.0
600029,88407928571.42857
600795,82931239747.04134
600115,81762166666.66667
601111,79077479470.58824
601607,74595092337.40715
601600,73775818266.66667
601989,73676630541.69765
601919,73216760956.536
600010,72854356704.07062
600346,71710585158.93385
600390,70434753366.12231
600297,69707189601.65266
600741,69025202874.40533
600900,68577644918.07333
600027,67343654812.5
000725,66495344343.0
002493,64922444838.588
003816,63343961655.25268
600362,62588928132.4375
601117,62117363117.009285
000100,57939266619.69231
688009,50582067415.485565
600208,49658683979.30249
601633,49636443893.83
600309,45486855883.29215
000625,45417592318.420555
601985,43842022703.73539
600998,43568482318.284996
600031,42067273000.0
600177,40995115837.80353
000157,40925146446.126
002202,39769189317.95583
601899,38721356314.86667
600655,37568634657.438126
300059,36105878464.63616
600025,35849391955.97063
000425,34668513387.675
601238,34159893019.6
600519,34069105707.5223
600150,33645234889.615334
600886,31638973355.521664
000703,30483827544.61923
000768,30131614880.86769
601225,29335242351.989334
600887,29176968212.692665
600893,29163925713.351875
002352,28980890546.593082
603993,27635852681.085384
600332,25413400396.22714
600018,24969796506.761433
600585,23961279071.733334
601933,23908765714.006664
600406,22947200979.393528
000876,22803884599.878
002456,22770198008.186665
601012,22465113287.60722
002475,21209448498.27572
002415,21197923572.003128
000858,20517635439.85
600547,20455362795.702003
600487,20170545765.713844
000708,19573128936.087997
600745,19318250632.655716
600196,19197134343.981426
300433,18683295866.846153
601877,18356563500.809444
002714,18163190897.825
600498,18011397003.4325
600438,17796685756.855
601816,17614271422.05286
002384,17535160466.34933
601808,17259576084.6
600760,17188986624.449997
600489,17074388379.656666
000977,16938257735.154612
000938,16799007971.252853
600482,16294196322.984446
600584,16105168016.4525
600066,15836005923.341177
601006,15519764495.941177
002241,15336482357.97857
600660,14842543193.3125
002129,14578359532.979412
601872,13546481693.337057
300498,13541307459.21786
002157,13171179639.241335
600352,13167183771.998823
000627,13042839372.334002
600600,12989510657.153847
002422,12244042447.533333
600176,12015507071.17625
600522,11757428165.660587
002304,11689014230.105555
002600,11536208837.2175
002236,11442384964.988571
603799,10983118723.005384
000895,10008527486.369375
000538,9855413404.492
601231,9658879704.159332
601216,9417068860.201427
000860,9342064990.857855
002271,8938713788.122002
002601,8890273456.9
002739,8857058298.431873
002311,8708382836.69143
000723,8537442322.380666
000963,8531676686.809999
600848,8424836542.635
601021,8347356262.0
601888,8149561511.425881
600004,8087973960.615
002938,8015539177.431176
688036,7950827468.622
000066,7827071207.85125
600588,7814855497.0
002945,7784387889.86
600637,7761553718.741429
002120,7245381463.951177
002008,6969100096.658236
600989,6874787620.967335
300413,6817357636.75625
002607,6713547484.096152
002044,6711579987.041429
600111,6118334645.976
600809,6019553862.1175
002230,5980686819.523846
600271,5972426841.375383
002179,5835508594.235715
002001,5811076263.055294
603259,5540127652.056429
603288,5385043620.099284
000568,5351670462.348333
603019,5319190524.025385
600233,5146432067.495001
601360,5022273285.714286
600085,5018923105.594
603501,5005340312.030001
002602,4910902315.588751
300122,4873293203.2
300014,4870902166.476
600118,4870256146.099999
600183,4770046822.87
002371,4755058885.889231
300003,4680097059.315714
002050,4609158007.521764
002624,4483777497.794286
600703,4479677158.055
000596,4410455972.958823
300124,4200990951.61077
002916,4085018696.102857
002841,4062864196.7207136
000786,4015644933.479231
002032,3958816523.291875
603833,3902141819.3811765
600845,3757645729.565
002460,3705739907.4700007
600009,3627002231.6529417
002027,3599189485.06875
002508,3326265781.0173335
300015,3187026193.8953333
000661,3118460127.078666
002812,3102214119.3238454
002555,2915959943.9605885
600299,2661560606.0666666
600276,2644765172.293125
300136,2618112737.0228567
600570,2453365430.9514284
002463,2446468742.875
603899,2203797599.994375
601100,2201753652.975294
601698,2196209475.1555557
603195,2159845669.698
603156,2002510121.1228573
603369,1906435346.138667
002410,1691724692.846
002558,1602689598.3923075
600436,1600662893.6259997
600872,1527675285.5385716
603160,1423807621.52125
002153,1373900273.1013334
300347,1335894365.3025
300676,1274532541.6538463
002049,1190344371.5366666
300142,1183487058.7284617
300033,1143530385.6335714
688012,1118747539.9633334
300144,991370275.5933334
300601,940310466.9135714
603658,933688890.0460001
002414,886964387.5157144
600161,682155022.509375
002007,665217833.0613334
300408,652972753.8325
603986,624558270.9394119
002773,612222458.3647059
603392,543449273.4585713
002821,503857736.05307686
603087,400286123.04333335
002252,347152074.9846153
300628,324881179.15800005
688008,319335851.17636365
600763,276712724.38785714
300529,263141142.65000004
601988,0
000783,0
601998,0
000776,0
601990,0
000166,0
601916,0
601818,0
601901,0
601838,0
002142,0
601878,0
601881,0
601939,0
601788,0
000728,0
601336,0
601696,0
600926,0
002939,0
002958,0
601108,0
601077,0
601066,0
601009,0
600999,0
600958,0
600919,0
601688,0
600918,0
600837,0
600000,0
600015,0
600016,0
600030,0
600036,0
600109,0
601162,0
601166,0
601169,0
601198,0
601658,0
601628,0
601601,0
002673,0
601577,0
601555,0
601398,0
002736,0
601377,0
600369,0
601328,0
601319,0
601318,0
601288,0
601236,0
601229,0
601211,0
000001,0
